booking_id,listing_id,user_id,booking_date,checkin_date,checkout_date
1000,98,250,2023-02-26,2023-03-07,2023-03-13
1001,58,324,2023-02-26,2023-03-04,2023-03-10
1002,58,379,2023-02-21,2023-02-27,2023-03-05
1003,15,300,2023-02-22,2023-02-23,2023-02-26
1004,8,307,2023-02-17,2023-02-22,2023-02-26
1005,68,246,2023-01-03,2023-01-06,2023-01-11
1006,55,343,2023-06-15,2023-06-17,2023-06-21
1007,30,319,2023-05-24,2023-05-27,2023-05-28
1008,92,428,2023-02-22,2023-02-27,2023-03-01
1009,62,328,2023-01-22,2023-01-23,2023-01-24
1010,34,317,2023-03-28,2023-04-06,2023-04-12
1011,1,391,2023-01-11,2023-01-16,2023-01-21
1012,22,275,2023-03-31,2023-04-03,2023-04-06
1013,86,419,2023-01-24,2023-01-29,2023-02-04
1014,47,403,2023-03-30,2023-04-04,2023-04-10
1015,39,453,2023-04-05,2023-04-10,2023-04-11
1016,23,299,2023-01-08,2023-01-10,2023-01-16
1017,52,346,2023-05-17,2023-05-18,2023-05-20
1018,69,359,2022-12-31,2023-01-04,2023-01-06
1019,24,362,2023-05-19,2023-05-20,2023-05-22
1020,33,300,2023-06-25,2023-06-28,2023-07-01
1021,65,242,2023-06-08,2023-06-10,2023-06-12
1022,35,463,2023-03-20,2023-03-22,2023-03-24
1023,7,313,2023-02-19,2023-02-27,2023-03-04
1024,36,448,2023-01-17,2023-01-21,2023-01-26
1025,10,391,2023-04-08,2023-04-11,2023-04-12
1026,49,295,2023-04-01,2023-04-09,2023-04-13
1027,23,382,2023-01-30,2023-02-06,2023-02-10
1028,89,485,2023-04-08,2023-04-09,2023-04-10
1029,62,386,2023-03-22,2023-03-25,2023-03-26
1030,49,432,2023-04-07,2023-04-10,2023-04-14
1031,76,405,2023-01-05,2023-01-09,2023-01-13
1032,83,268,2023-04-18,2023-04-21,2023-04-26
1033,12,252,2023-01-18,2023-01-25,2023-01-29
1034,16,380,2023-02-19,2023-02-26,2023-03-03
1035,14,362,2023-04-25,2023-05-02,2023-05-07
1036,93,438,2023-03-07,2023-03-16,2023-03-18
1037,74,429,2023-05-18,2023-05-25,2023-05-30
1038,46,482,2023-05-19,2023-05-21,2023-05-23
1039,5,335,2023-01-28,2023-01-29,2023-02-03
