listing_id,location,room_type,price,host_id
1,Bangalore,Shared room,4763,119
2,Delhi,Shared room,2853,107
3,Bangalore,Shared room,5659,106
4,Bangalore,Entire home,2291,166
5,Delhi,Shared room,4581,116
6,Delhi,Shared room,4457,132
7,Bangalore,Entire home,2636,147
8,Mumbai,Shared room,4696,175
9,Bangalore,Entire home,3999,158
10,Bangalore,Private room,4152,185
11,Bangalore,Shared room,1698,121
12,Bangalore,Private room,3160,129
13,Delhi,Entire home,5097,137
14,Bangalore,Shared room,5737,150
15,Mumbai,Entire home,1854,153
16,Delhi,Private room,4474,107
17,Mumbai,Entire home,2707,126
18,Mumbai,Shared room,3777,126
19,Mumbai,Shared room,2733,197
20,Mumbai,Private room,5931,120
21,Delhi,Entire home,4510,129
22,Delhi,Shared room,1202,196
23,Mumbai,Private room,4255,127
24,Mumbai,Shared room,5218,163
25,Delhi,Shared room,5496,196
26,Delhi,Entire home,1766,168
27,Delhi,Shared room,5389,160
28,Bangalore,Entire home,3327,147
29,Bangalore,Shared room,3931,118
30,Bangalore,Private room,1197,103
31,Mumbai,Shared room,2930,134
32,Bangalore,Entire home,4582,163
33,Mumbai,Entire home,1608,148
34,Mumbai,Private room,4272,116
35,Bangalore,Shared room,2147,143
36,Mumbai,Shared room,5282,191
37,Bangalore,Private room,4397,129
38,Bangalore,Shared room,3511,192
39,Delhi,Shared room,2794,145
40,Bangalore,Entire home,1659,105
41,Delhi,Shared room,3811,198
42,Bangalore,Shared room,2369,136
43,Bangalore,Private room,2986,123
44,Delhi,Private room,1146,192
45,Delhi,Entire home,4219,145
46,Bangalore,Shared room,3911,152
47,Mumbai,Shared room,2734,194
48,Delhi,Shared room,2843,198
49,Mumbai,Entire home,1488,159
50,Mumbai,Entire home,3976,196
51,Mumbai,Private room,2959,162
52,Delhi,Entire home,3385,184
53,Mumbai,Shared room,3919,131
54,Delhi,Shared room,5736,186
55,Mumbai,Entire home,2802,132
56,Bangalore,Shared room,5061,166
57,Bangalore,Shared room,4369,117
58,Delhi,Entire home,1262,124
59,Bangalore,Entire home,1623,194
60,Bangalore,Shared room,2016,153
61,Mumbai,Shared room,4643,157
62,Delhi,Shared room,5976,166
63,Mumbai,Private room,3049,145
64,Mumbai,Private room,4723,123
65,Mumbai,Private room,5548,131
66,Mumbai,Entire home,4108,146
67,Mumbai,Private room,5090,185
68,Mumbai,Entire home,3056,122
69,Mumbai,Entire home,4170,165
70,Delhi,Private room,2682,126
71,Bangalore,Private room,3255,101
72,Mumbai,Private room,2154,189
73,Mumbai,Shared room,5499,116
74,Mumbai,Private room,4191,132
75,Mumbai,Shared room,2696,108
76,Mumbai,Entire home,4991,142
77,Mumbai,Shared room,5723,147
78,Bangalore,Private room,5682,138
79,Bangalore,Entire home,2648,192
80,Mumbai,Entire home,2445,141
81,Bangalore,Entire home,5199,125
82,Delhi,Shared room,4923,198
83,Mumbai,Private room,1253,149
84,Delhi,Entire home,4183,124
85,Delhi,Entire home,3557,123
86,Mumbai,Entire home,1098,112
87,Bangalore,Shared room,3200,159
88,Delhi,Shared room,3961,106
89,Mumbai,Private room,5973,156
90,Delhi,Shared room,5433,135
91,Delhi,Entire home,4777,144
92,Delhi,Private room,3869,119
93,Delhi,Entire home,4234,164
94,Bangalore,Entire home,4791,107
95,Delhi,Shared room,1956,115
96,Delhi,Private room,5067,113
97,Delhi,Shared room,1160,175
98,Bangalore,Shared room,5493,186
99,Delhi,Private room,2300,114
100,Delhi,Entire home,5911,191
